종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"311320","지오엘리먼트","KOSDAQ","일반전기전자","15800","-200","-1.25","99655024000"
"388050","지투파워","KOSDAQ","일반전기전자","6080","30","0.50","110762710080"
"219750","지티지웰니스","KOSDAQ","의료·정밀기기","1425","0","0.00","27234074175"
"018120","진로발효","KOSDAQ","음식료·담배","21150","-250","-1.17","140036688000"
"109820","진매트릭스","KOSDAQ","기타서비스","4700","-70","-1.47","95850108000"
"086060","진바이오텍","KOSDAQ","유통","4180","50","1.21","35992253660"
"036890","진성티이씨","KOSDAQ","기계·장비","8260","110","1.35","185703533680"
"363250","진시스템","KOSDAQ","의료·정밀기기","7300","0","0.00","50521694000"
"007370","진양제약","KOSDAQ","제약","5720","60","1.06","68640000000"
"085660","차바이오텍","KOSDAQ","제약","14250","-250","-1.72","801823531500"
"261780","차백신연구소","KOSDAQ","기타서비스","4855","5","0.10","128313581510"
"158310","참존글로벌","KOSDAQ","기계·장비","1680","0","0.00","80373095040"
"094850","참좋은여행","KOSDAQ","기타서비스","10200","-300","-2.86","142800000000"
"004650","창해에탄올","KOSDAQ","음식료·담배","11000","150","1.38","101099735000"
"278280","천보","KOSDAQ","화학","178300","-4000","-2.19","1783000000000"
"362320","청담글로벌","KOSDAQ","유통","8040","90","1.13","165232371600"
"066360","체리부로","KOSDAQ","음식료·담배","926","-3","-0.32","43403961854"
"047820","초록뱀미디어","KOSDAQ","오락·문화","11700","50","0.43","254038613400"
"131100","초록뱀이앤엠","KOSDAQ","유통","2665","-40","-1.48","71510488660"
"052300","초록뱀컴퍼니","KOSDAQ","유통","586","0","0.00","67436881172"
"094360","칩스앤미디어","KOSDAQ","반도체","14100","200","1.44","135928441500"
"016790","카나리아바이오","KOSDAQ","음식료·담배","22450","300","1.35","997588604100"
"016920","카스","KOSDAQ","유통","1680","40","2.44","44509143840"
"284620","카이노스메드","KOSDAQ","기타서비스","3730","0","0.00","104150537080"
"293490","카카오게임즈","KOSDAQ","디지털컨텐츠","42650","1400","3.39","3507297885050"
"042000","카페24","KOSDAQ","인터넷","10750","-100","-0.92","241844878500"
"317530","캐리소프트","KOSDAQ","오락·문화","4950","-50","-1.00","34457920200"
"071850","캐스텍코리아","KOSDAQ","운송장비·부품","1985","455","29.74","32889838180"
"050110","캠시스","KOSDAQ","IT부품","1815","-5","-0.27","133990774170"
"223310","커머스마이너","KOSDAQ","소프트웨어","3320","0","0.00","50836291520"
"900310","컬러레이","KOSDAQ","금융","821","-22","-2.61","52578215175"
"078340","컴투스","KOSDAQ","디지털컨텐츠","77300","600","0.78","994574266000"
"063080","컴투스홀딩스","KOSDAQ","디지털컨텐츠","43400","950","2.24","286231332800"
"307930","컴퍼니케이","KOSDAQ","금융","4800","-70","-1.44","74928000000"
"079190","케스피온","KOSDAQ","통신장비","1305","35","2.76","41478377085"
"263700","케어랩스","KOSDAQ","기타서비스","7830","50","0.64","141751610820"
"214370","케어젠","KOSDAQ","제약","115000","-4400","-3.69","1235445000000"
"221980","케이디켐","KOSDAQ","화학","12600","400","3.28","50838480000"
"342550","케이비제20호스팩","KOSDAQ","금융","2085","-70","-3.25","13554585000"
"424140","케이비제21호스팩","KOSDAQ","금융","2085","-5","-0.24","16075350000"
"436530","케이비제22호스팩","KOSDAQ","금융","2100","5","0.24","10962000000"
"192250","케이사인","KOSDAQ","소프트웨어","1445","5","0.35","102119966365"
"115500","케이씨에스","KOSDAQ","컴퓨터서비스","4810","-5","-0.10","57720000000"
"089150","케이씨티","KOSDAQ","컴퓨터서비스","3975","5","0.13","68171250000"
"025880","케이씨피드","KOSDAQ","음식료·담배","2710","-110","-3.90","45299975180"
"093320","케이아이엔엑스","KOSDAQ","인터넷","50300","850","1.72","245464000000"
"073010","케이에스피","KOSDAQ","기계·장비","1820","15","0.83","65869907740"
"105330","케이엔더블유","KOSDAQ","일반전기전자","7940","30","0.38","96354933080"
"272110","케이엔제이","KOSDAQ","기계·장비","10300","-150","-1.44","81837568500"
"039420","케이엘넷","KOSDAQ","통신서비스","2410","20","0.84","58212899300"
"083550","케이엠","KOSDAQ","섬유·의류","5610","-50","-0.88","63121565760"
"032500","케이엠더블유","KOSDAQ","통신장비","26250","-600","-2.23","1045298178750"
"225430","케이엠제약","KOSDAQ","화학","1205","10","0.84","33603895250"
"102370","케이옥션","KOSDAQ","유통","4890","-90","-1.81","132881520150"
"036030","케이티알파","KOSDAQ","유통","5200","180","3.59","254900271600"
"064820","케이프","KOSDAQ","운송장비·부품","4425","0","0.00","136740146400"
"347140","케이프이에스제4호","KOSDAQ","금융","2025","0","0.00","6093225000"
"256940","케이피에스","KOSDAQ","반도체","4770","-95","-1.95","89431098660"
"024880","케이피에프","KOSDAQ","금속","7170","-190","-2.58","140734810620"
"042040","케이피엠테크","KOSDAQ","화학","345","-5","-1.43","55386994140"
"054410","케이피티유","KOSDAQ","금속","5040","-40","-0.79","25502400000"
"258610","케일럼","KOSDAQ","금속","3185","-15","-0.47","70537436970"
"274090","켄코아에어로스페이스","KOSDAQ","운송장비·부품","13200","50","0.38","161668953600"
"217600","켐온","KOSDAQ","기타서비스","1995","-10","-0.50","127403373300"
"089010","켐트로닉스","KOSDAQ","화학","15700","-100","-0.63","233273064900"
